entity,entity_category,behavior,condition_type,condition,entity_facts,question,question_context,condition_met,ground_truth_answer
Devon,person,paints watercolors on the balcony,temperature,when the outdoor temperature is below 12°C,"[""Devon keeps a modest balcony garden where he leaves jars of brushes and scrap paper beside potted herbs. He often paints loose watercolors there, letting the city breathe around his paper. He tracks weather obsessively, favoring cool, crisp days and noting temperatures with an old thermometer in the window. Friends tease him for checking the reading before he steps outside, and he grins like a scientist who also happens to be romantic. On colder mornings he layers a sweater and favors quick washes of cobalt and gray. His neighbor knows to wave from across the hall without disturbing the moment. It's usually on those chill, below-twelve-degree days that the balcony becomes his little studio. He brings a thermos and a portable heater for company and paints until the light softens.""]",It's 24°C outside and Devon is packing his paints — will he paint on the balcony now?,24°C outside,no,No — it's 24°C and Devon only paints on the balcony when the outdoor temperature is below 12°C.
Anita,person,buys herself a tiny pastry at the corner bakery,streak_state,after completing a 10-day consecutive journaling streak,"[""Anita treats her journaling habit with the seriousness of a small pilgrimage. She writes every evening, pages filled with lists, observations, and one-sentence confessions that feel like coins dropped into a fountain. She keeps a calendar in the kitchen where she marks each completed entry with a tiny sticker, and the stickers build into a proud mosaic. Work weeks and travel sometimes interrupt the pattern, so those streaks are celebrated at home. Her friends have noticed the ritual and sometimes send little texts of encouragement. On the day she reaches a solid stretch of entries the household feels like it is holding a tiny celebration. After ten of those consecutive checkmarks she typically allows herself a small treat from the corner bakery. That pastry becomes a private reward she eats slowly with her tea, savoring the habit she has cultivated.""]",Anita just completed her tenth straight journal entry today — should I expect her to stop by the bakery?,completed 10-day journaling streak,yes,Yes — she treats herself to a pastry after completing a 10-day consecutive journaling streak.
Marco,person,writes haiku on napkins,lighting,when room lighting color temperature is below 2700K,"[""Marco carries a pocketful of napkins and a pencil stub wherever he goes. He has a fondness for sketching short poems in tight syllable counts, leaving tiny haiku tucked under coffee cups or beside menus. The rooms he prefers are lit with warm bulbs and amber lamps that cast everything in a soft, cozy glow. He curates playlists that favor mellow vinyl and arranges lamps to avoid harsh, white light. His friends know his taste for intimate, lamp-lit evenings and invite him to small gatherings with that atmosphere. He also has a habit of removing his watch during those meetings and losing track of ordinary time. It's during those golden, low-temperature-lit evenings that the napkin poetry shows up most often. He signs each slip with a small flourish and leaves it like a secret for someone to find.""]",The studio lamp is set to 2500K tonight — will Marco likely write haiku on napkins?,lamp set to 2500K,yes,"Yes — 2500K is below 2700K, and Marco only writes haiku when the lighting is that warm."
Nimue,character,offers cryptic hints about quests,frequency_cap,at most once every 72 hours,"[""Nimue moves through the world like a deliberate puzzle master who enjoys silence as much as speech. She offers hints in a sparing, measured voice and treats words like carefully chosen coins. Her calendar is full of long stretches where she writes and meditates, leaving gaps between interactions so thoughts can ripen. Followers have learned that she values distance and that patience is part of her craft. She keeps a ledger of correspondences and notes when she sends something out, marking time with a fine pen. People waiting for her words often learn to pace themselves and to read the spaces between lines. Most observers notice long pauses between her pieces of guidance, a rhythm to her outreach. When she does speak up again it carries the weight of those quiet days.""]",Nimue gave a hint 36 hours ago — would she give another hint if asked now?,36 hours since last hint,no,"No — she limits her hints to at most once every 72 hours, and only 36 hours have passed."
Pippin,pet,drops his favorite squeaky carrot at visitors' shoes,company,when there are at least two unfamiliar guests in the room,"[""Pippin is a cheerful terrier with a conspiracy of toys and a dramatic flair. He adores a particular squeaky carrot and treats it as a ceremonial offering during social events. The household throws regular small gatherings and the door often sees unfamiliar coats and voices clustered together. Children arrive with sticky fingers and neighbors stand around folding chairs, talking in excited threads. Pippin has a habit of dropping his treasured carrot at the nearest set of shoes like a peace offering or theatrical prop. He seems to pick up on the buzz of multiple strangers, his tail a metronome of attention. It's in those livelier moments, with at least a couple of new faces in the room, that the little orange toy makes its rounds by the door. Afterwards he basks in the afterglow, proud of his role as greeter.""]",Two friends who Pippin hasn't met are sitting in the living room — will Pippin bring them his squeaky carrot?,two unfamiliar guests present,yes,"Yes — with at least two unfamiliar guests in the room, Pippin drops his squeaky carrot at their shoes."
Leila,person,uploads draft song snippets publicly,approval_received,only after her collaborator types 'looks good' in their chat,"[""Leila treats her drafts as living things that sometimes need air before they can breathe. She regularly uploads short snippets in public, snippets that are rough and open to the world. She and her collaborator keep a chat thread filled with timestamps, little emojis, and occasional single-line approvals. The collaborator has a habit of typing concise endorsements that look like a green stamp in their conversation. Leila often paces in her studio, phone in hand, watching the feed with the patience of someone waiting for a signal. Her friends know that the duo's shorthand matters more to her than a formal email. Shortly following that tiny, typed approval she usually feels ready to move something out of the drafts folder. The uploads that follow are small, honest fragments shared for feedback more than finality.""]",Leila hasn't heard back from her collaborator and the draft is ready — should she upload the snippet now?,no collaborator approval yet,no,No — she waits for her collaborator to type 'looks good' in chat before uploading draft snippets.
Captain Mira,character,polishes and re-hangs tiny brass ship charms in a precise order,sobriety,when sober (has had no alcohol in the past 24 hours),"[""Captain Mira's little cabin always smells of oil and citrus, and a thin wooden rack above her bench is filled with tiny brass ship charms. She has a ritual of taking those charms down one by one, buffing each metal face until it catches the light, and then rehanging them in a neat row. Old navigation charts are taped to the walls and a coil of rope sits by the hatch. Most nights there is a small pot of ale or spiced rum left half-full on the galley table; the crew often lingers over stories and drink. Her log entries are tidy and precise, written in faded ink. She likes to do small, solitary tasks that feel like plaiting order out of chaos. By the time the first pale light slips through the porthole and the mugs on the table are empty, her hands have a way of settling into that slow, exacting work. Visitors comment on how the charms always look impeccable afterward. She keeps one charm in a pocket as a talisman and taps it before setting sail.""]",We're visiting the dock at 10am and Captain Mira hasn't had a drink in the past 24 hours — will she re-hang her brass charms now?,"10am, sober (no alcohol in past 24 hours)",yes,"Yes — she's sober, and she only polishes and re-hangs the charms when she hasn't had alcohol in the past 24 hours."
Nori,pet,bats the bedside lamp's pull cord to turn it off,lighting,only when the room is dim (illuminance below ~50 lux),"[""Nori is a compact, silver-furred cat who prefers the company of soft fabrics and low voices. She routinely reaches out with a paw to bat at small, dangling things on the nightstand, treating them like moving toys. Her owner reads late into the night with the curtains drawn and a warm lamp casting a narrow pool of light. The bedroom tends to be kept in a dim, cozy hush after dusk, with only that single bedside bulb on and shadows pooling at the foot of the bed. Nori sleeps in the crook of the duvet for most of the afternoon. She answers to a tiny bell on her collar and follows the slow rituals of the household. It's usually in that half-lit, sleepy quiet that her little paws get interested in the dangling cord. The lamp's pull swings gently after she plays with it, and the owner laughs and tucks the cord out of reach.""]",It's a sunny afternoon and the living room brightness measures about 500 lux — would Nori bat the bedside lamp cord now?,"500 lux, bright afternoon",no,No — the room is bright and she only bats the cord when the room is dim (below about 50 lux).
Ivo,character,sketches tiny ink portraits on napkins,request_made,when someone explicitly asks him to draw a portrait,"[""Ivo carries a little fountain pen in the breast pocket of his jacket and can be distracted for hours by ink and paper. He often produces a tiny, careful ink portrait on whatever scrap is handy, leaving minute likenesses folded into receipts and napkins. He spends long afternoons in a corner table at the neighborhood cafe, watching people and eavesdropping on conversations. Strangers and friends alike nudge their cups toward him and ask questions about his drawings, filling the air with small requests and compliments. His sketchbook is rarely far from reach, pages thumbed and smudged. He has an easy, amused air and talks in soft, quick bursts. Most of the time, right after someone smiles and mentions portraits, he reaches for his pen and sketches away on a scrap of paper. The cafe owner pins a few of those napkin faces to the bulletin board by the register.""]",We're at the café and I ask Ivo for a quick napkin portrait — will he sketch one?,asked for a napkin portrait,yes,"Yes — you asked him, and he sketches napkin portraits whenever someone asks."
Rosa,person,adds margin notes to shared recipes,request_made,only when someone specifically asks her to annotate a recipe,"[""Rosa keeps a battered binder of family recipes in the kitchen and treats each one like a little story. She habitually slips tiny handwritten notes into the margins\u2014measure adjustments, flavor tips, and the occasional doodle. Her friends frequently trade plates and printed recipe sheets at potlucks and church gatherings. Guests often ask her to clarify quantities or explain a tricky step, peppering her with specific, practical questions. The garden window always has a jar of basil and a chipped teacup or two. She laughs easily and loves a long afternoon of chopping and stirring with company. It's usually after someone has directly asked for clarification that her pen comes out and the margins fill up. She staples a copy for the asker and labels it with a smile.""]",I left a recipe on the counter but didn't mention it to Rosa — should I expect her to add margin notes?,no request made,no,"No — she only adds notes when explicitly asked, and no one asked."
Ethan,person,rewrites and recolors his day's schedule in a tight spiral with colored pens,anxiety_level,when his self-rated anxiety is 7 out of 10 or higher,"[""Ethan keeps a drawer full of colored pens and a stack of small planning notebooks on his desk. He has the habit of rewriting his day\u2019s schedule into a tight, spiral pattern and recoloring tasks with different pens, turning chaos into neat rings of ink. His apartment is tidy in a functional way, and he tracks moods and metrics in a dedicated journal. Some days he feels a rising, gnawing tension in his chest that he counts on a scale he learned in therapy. He takes frequent short walks to break the momentum and sometimes breathes with his hand on his sternum. Friends know him as reliably punctual and a little particular about checklists. Most often, once that internal meter climbs high enough and the restless energy settles, he sits down at his desk and makes the spiraled, color-coded page. He files each finished spiral behind the previous day\u2019s notes as a record of how he worked through it.""]",Ethan reports he's feeling a 7/10 anxious this morning — will he recolor his schedule now?,anxiety 7/10,yes,Yes — his rule is to recolor the schedule whenever his anxiety is 7/10 or higher.
Pip,pet,jumps onto the back porch to inspect packages,time_of_day,only during dawn between 5:30 and 6:30 AM,"[""Pip is a lean terrier mix with an early-bird temperament and a chirpy bark. He tends to hop eagerly onto the back porch as part of his morning routine, pausing at the rail to watch birds and sniff the air. He spends the rest of the evening curled on the rug by the hearth. The household comes awake well before sunrise; lights are dim and the first thin bands of light start to appear around dawn. His collar jingles softly and the family keeps a small bowl of water ready on the porch. He likes to patrol the yard and check the fence for new smells. It's almost always during that pale, pre-sunrise hour that he makes the leap onto the porch and waits expectantly. Later in the day he prefers sunbeams on the floor and long naps on the couch.""]",The mail carrier dropped a package at 2pm — will Pip jump onto the back porch to check it?,2:00 PM,no,No — Pip only jumps onto the porch during the dawn window around 5:30–6:30 AM.
Marcellus,character,builds tiny wooden toy soldiers from matchsticks,stress_level,only when his self-reported stress is above 8 out of 10,"[""Marcellus's workshop smells of sawdust and old varnish, and a shoebox of tiny matchsticks sits on a high shelf. He has a quiet compulsion for assembling minuscule wooden soldiers out of matchsticks, carving helmets and painting minute faces with a steady hand. He works as a clockmaker and spends hours coaxing gears back into life. He keeps a small notebook of mood markers and knows his own signs: a tightness behind the eyes, a jaw that won't settle, and a restless lengthening of the day. Tea goes cold beside his bench while he stares at plans. He values small, repetitive projects that can be finished in a single sitting. By the time the signs of that unrest are clear and his hands start to tremble, the matchstick soldiers begin to appear, lined up patiently on the bench. He counts them like breaths until the feeling eases.""]",Marcellus has been taking long walks and says he's at about 4/10 stress — will he be making toy soldiers this afternoon?,stress 4/10,no,"No — he only makes toy soldiers when his stress is above 8/10, and he's at 4/10."
Hector,person,clips and files printed documents into color-coded bundles,stress_level,only when his stress rises above 6 out of 10,"[""Hector works in a light-filled office and keeps a neat stack of colored folders on his desk. He often spends idle minutes clipping and filing printed pages into color-coded bundles, a system that makes his inbox look calmer than it really is. He answers emails in long runs and has a calendar that he treats like scripture. Lately he has been watching his own tension climb during busy weeks, noticing a faster pulse and a tendency to jump at small noises. His coworkers comment that he takes organization seriously and that his desk is a study in order. He likes the tactile click of a paper clip and the satisfying slide of a newly labeled tab. Most of the time, as his stress level rises and the office hum thickens, he reaches for the stapler and the colored labels and gets to work on the bundles. He files each completed set into the cabinet and breathes a little easier.""]",Hector just returned from vacation and says his stress is 2/10 — will he start color-coding the paperwork now?,stress 2/10,no,"No — he only does the color-coded filing when stress exceeds 6/10, and he's currently at 2/10."
Sylas,character,lights a single blue candle and traces wind-lines on a sea chart,weather,when dense fog reduces visibility below about 200 meters,"[""Sylas keeps his charts rolled on a brass tube and a small blue candle in an iron holder near his map table. He routinely traces fine, confident wind-lines across his sea charts with a sharpened pencil, taking pleasure in the geometry of currents. His home sits near the head of the bay where fog slides in like a curtain. Instruments and flags go quiet as the world outside turns to a flat, wet gray and the horizon blurs into nothing. He drinks his tea slowly and listens to the creak of timbers. He likes the ritual of preparation and the small comforts of an orderly chartroom. It's usually in that thick, closing fog and the hush on deck that the blue candle is lit and his pen starts marking the chart. He rolls the map back up when the light returns and tucks the candle away until the next hush.""]",A morning fog has settled and visibility is around 150 meters at the harbor — will Sylas light a blue candle and trace wind-lines?,"foggy, visibility ~150 meters",yes,"Yes — visibility is under 200 meters, and he performs that ritual in dense fog."
Amara,person,"sends a long, detailed voice message recapping her week",time_elapsed,only if more than 72 hours have passed since her last voice message to that person,"[""Amara's voice messages are full of stories, details, and a soft, deliberate cadence that makes listeners feel like they're sitting across a kitchen table. She has a habit of recording long, detailed voice notes that run several minutes and cover plans, apologies, and little observations. Her life is measured in rhythms: work calls, weekend hikes, and the occasional stretch of silence from friends. She keeps a mental log of recent conversations and sometimes goes several days with only brief check-ins. Her phone shows timestamps she glances at before dialing into a call. She prefers to gather her thoughts and speak fully rather than pinging short texts back and forth. Most often, after a span of three quiet days has passed, she opens the voice recorder and leaves one of those long, careful messages. Recipients often reply that they felt seen after listening.""]",We spoke 48 hours ago — should I expect Amara to send a long voice message now?,48 hours since last message,no,No — she waits until over 72 hours have passed before sending a long voice message.
Nora,person,pins a paper crane to her umbrella,weather,during light snowfall,"[""Nora moved to a narrow flat above the florist three years ago and keeps a stack of mismatched umbrellas by the door. She has a soft ritual of pinning a tiny paper crane to the handle of whichever umbrella she takes out. Her neighbors comment on how she savors small, deliberate gestures. She works evenings at a museum and walks home through a park that smells of damp stone. Late winter brings those gentle, powdery flurries that make the streets quiet and silver. Friends tease her about small superstitions and handmade charms. She favors origami and keeps a box of folded birds in her desk drawer. It's usually during those light, flurry-filled walks that that small, quiet adornment turns up. On Sundays she bakes bread and leaves loaves at the gallery for the staff.""]",It's lightly snowing this afternoon — should I expect Nora to pin a paper crane to her umbrella?,light snowfall,yes,"Yes — it's lightly snowing, and Nora pins a paper crane to her umbrella during light snowfall."
Ethan,person,spreads theater playbills across his desk and annotates them in colored ink,workload,only on days with fewer than two scheduled meetings,"[""Ethan's apartment doubles as a studio and there are stacks of programs and sticky notes everywhere. He spreads theater playbills across his desk and writes annotations in bright ink for fun. He drinks terrible instant coffee while listening to cast recordings at low volume. Many weeks his calendar is jam-packed with meetings back-to-back. Some days, however, his schedule shows just a single appointment or is remarkably empty. He volunteers at a community playhouse and keeps theatrical ephemera in labeled folders. His partner jokes that he treats blank calendar squares like a holiday. It's usually on those sparse, quiet days that the desk becomes a colorful, marked-up map of shows. He insists the annotations help him remember blocking and lighting choices.""]",Today Ethan has three scheduled meetings — would he spread playbills across his desk to annotate them?,three scheduled meetings,no,"No — he only does that when he has fewer than two meetings, and today he has three."
Mochi,pet,drags a catnip mouse into the laundry basket and naps on it,prior_activity,after an uninterrupted five-minute laser-pointer chase,"[""Mochi is a compact calico with a purr that shook the window glass the first day she arrived. She drags her battered catnip mouse into the laundry basket and curls up on top of it for naps. The family leaves a trail of toys across the living room and a laser pointer lives in the junk drawer. She's a devoted chaser and will sprint across rugs with feline intensity. Some play sessions last for long, uninterrupted stretches where the red dot darts and darts with no pause. After a quick feast she loves to bury her nose in warm towels and knead contentedly. Everyone knows she has a dramatic flip from full-speed to full-sleep. It's usually right after those marathon red-dot sprints that the laundry basket becomes a sleepy nest. Kids report that she snores like a tiny, pleased engine.""]",Mochi just chased the laser pointer for six straight minutes — will she bring a catnip mouse into the laundry basket and nap on it now?,just chased laser pointer for six minutes,yes,Yes — she brings a catnip mouse to the laundry basket and naps on it after a five-minute laser chase.
Captain Aria,character,hums the old sea shanty under her breath,mood,only when feeling nostalgic,"[""Captain Aria keeps a battered sextant on her desk and a faded chart pinned above it. She often hums an old sea shanty under her breath while mending ropes or polishing brass. The crew knows her for quiet ceremonies and small, private remembrances. Home port is a collection of weathered photos tucked into a leather-bound logbook. Certain evenings find her staring at those photos with a long, distant expression. She speaks little of the past but her hands linger over familiar knots. Her cabin smells faintly of salt and lemon oil from preserved citrus rations. It's usually during those reflective, memory-heavy moments that a tired tune slips from her lips. When she laughs it sounds like rope creaking in a steady breeze.""]",We're gathering for the victory ceremony and Aria looks focused — would she hum the old sea shanty under her breath now?,gathering for a victory ceremony; focused,no,"No — she only hums that shanty when she's feeling nostalgic, and right now she's focused on the ceremony."
Marigold,character,traces tiny constellations on her wrist with silver ink,lighting,only when the room is lit by candlelight,"[""Marigold lives in a narrow garret above a bakery and keeps jars of ink at her elbow. She likes to trace tiny constellation patterns across her wrist with a fine silver pen in quiet focus. Her friends describe her as someone who favors small, nocturnal rituals over loud celebrations. The apartment fills with the warm, flickering light of candles on colder nights. Candles are often the only light she allows when she wants the room to feel private and soft. She collects tiny glass bottles and arranges them like a miniature skyline on the windowsill. Her handwriting tends to look like a star map when she writes letters by hand. It's usually under that gentle, amber glow that the silver ink comes out and the tiny dots appear. She wraps finished pages in tissue and slips them into envelopes with a pressed flower.""]",The council room is lit only by candles for tonight's vigil — will Marigold trace constellations on her wrist?,room lit by candlelight,yes,"Yes — the room is lit by candlelight, and Marigold only traces constellations in candlelight."
Diego,person,relabels his spice jars with mythical-sounding names,frequency_cap,only on the first Monday of each month,"[""Diego takes pride in his cramped kitchen and an over-ordered spice rack. He has a habit of relabeling jars with playful, mythic names in his own tidy script. Coworkers expect his texts on Mondays and laugh at his morning GIFs. He treats certain little rituals as a way to mark time and reset his mood. The first Monday of every month feels like a small personal turning point for him. He keeps a page-a-day planner filled with doodles and notes about minor experiments. His dad taught him to celebrate tiny beginnings with something silly. It's usually on that particular monthly morning that his spice rack receives its latest set of fantastical titles. He believes naming things changes how you think about them.""]",Today is the third Monday of the month — should I expect Diego to relabel his spice jars now?,third Monday of the month,no,No — he only does his mythical spice relabeling on the first Monday of each month.
Tofu,pet,buries found socks under the lilac bush,location,only when he's in the neighbor's yard,"[""Tofu is a lanky terrier with one ear that flops over when he's excited. On walks he often tucks small found socks under the lilac bush out back in a determined little pile. He is famously curious and sometimes squeezes through the narrow gap beneath the garden fence. The neighbor's yard has a secret corner behind the shed that smells like other dogs and old grass. Many of his best sniffing excursions lead him across that boundary into the next-door lawn. He answers to two names and has learned the route to a favorite hiding spot. His person keeps a list of where the missing socks tend to reappear. It's usually during those cheeky, off-the-property forays that the lilac bed gains a new buried treasure. At home he will wag afterward as if nothing unusual happened.""]",We're at the neighbor's yard with Tofu — will he bury the sock he just picked up under the lilac bush?,neighbor's yard,yes,"Yes — he's in the neighbor's yard, and that's where Tofu buries socks under the lilac bush."
Amara,person,writes a postcard to her childhood teacher,location,only when she's physically in her hometown,"[""Amara travels a lot for work but keeps a stack of postcards from places she loves. She writes a warm, handwritten postcard to the teacher who shaped her only on certain visits. Walks down old streets tend to conjure a lot of small, vivid memories for her. Her hometown still has the same corner bakery and a park bench with peeling paint. Returning there makes her slow down, noticing faces and doorways she once knew. She collects stamps in a little tin and buys new paper at the market. Friends say she becomes quieter and more reflective on familiar pavements. It's usually while she's wandering those well-worn lanes that she pulls out stationery and composes a note. She mails the postcards from the post office near the station, sticking on stamps with care.""]",We're vacationing at a coastal resort far from where she grew up — would Amara write a postcard to her childhood teacher now?,coastal resort far from hometown,no,"No — she only writes those postcards when she's physically in her hometown, and this resort isn't her hometown."
Buttons,pet,dips each morsel into a saucer of evaporated milk before eating,food_or_drink_present,only when a saucer of evaporated milk is present,"[""Buttons is a tiny tabby with oversized eyes and a very particular dining style. Before each bite he dips the morsel into a shallow saucer of evaporated milk, a ritual he repeats meticulously. The household sometimes leaves a small porcelain saucer by his bowl when they remember the old habit. His bowl sits on a faded mat beside the kitchen door and the family rotates dishes often. From time to time that little saucer is set down for him in the morning or evening. Children in the house are charmed and will rearrange the cups to see what happens. He always eats in the same spot, guarding it with tiny, regal patience. It's usually with that little saucer in place that the dipping routine takes over his meal. Afterwards he licks his paws and walks away like a satisfied monarch.""]",There's only dry kibble out with no milk — will Buttons dip his food into evaporated milk first?,"dry kibble, no saucer of evaporated milk",no,"No — Buttons only dips food into evaporated milk when a saucer of evaporated milk is present, and there isn't one now."
Sable,pet,deliberately knocks over the living-room cactus,time_of_day,exactly at 3:00 AM,"[""Sable is a sleek, mischief-prone cat with a black nose and a fondness for windowsills. She makes a point of toppling the living-room cactus as if it were a deliberate ceremony. The house holds an almost hushed quality during the small hours, with light seeping in from the streetlamps. Sable prowls silently, slipping between furniture and trailing shadows. The clock on the mantel ticks past midnight, then toward the small hour when the world feels paused. Guests sometimes wake to the sound of ceramic clattering and assume a burglar has come. Her owner once set up a camera and spent the morning laughing through footage of nocturnal antics. It's typically at that hour that the cactus finds itself on the rug. By dawn she will be asleep in a sunbeam, unconcerned by any uproar she caused.""]",It's 3:00 AM right now — should I expect Sable to knock over the living-room cactus?,3:00 AM,yes,Yes — Sable knocks over the cactus exactly at 3:00 AM.
Marta,person,tapes tiny paper cranes into her notebook margins,location,when she's sitting in the window seat at the Blue Finch café,"[""Marta has a quiet, almost secretive way of keeping small things. She tapes tiny paper cranes into her notebook in delicate, precise rows, a habit that comforts her on busy days. Her friends know her for an ever-present tote bag full of notebooks and a black fountain pen. On weekends she rides the tram across town to sit and read. The Blue Finch cafe is her regular stop; she prefers the narrow window seat that looks out over the pedestrian lane. She brings no social media, only a paperback and a cup of tea. It's usually during those long, sunlit mornings in that little window nook that the tape and paper come out. Later she folds up the notebook and tucks the cranes into a shoebox at home.""]",We're meeting Marta at Blue Finch and I grabbed the window seat — will she tape cranes into her notebook while we're there?,sitting in the window seat at the Blue Finch café,yes,Yes — she's known to do that only when she's sitting in the window seat at Blue Finch.
Captain Aurelio,character,recites a two-line naval proverb,food_or_drink_present,only when someone offers him a cup of black tea,"[""Captain Aurelio moves through a room with an old-fashioned steadiness that puts strangers at ease. He has a stubborn little ritual of speaking a two-line naval proverb aloud, the cadence unchanged over decades. The crew at port calls him by his title out of habit, and younger sailors gravitate toward his table at the mess. He collects teacups with tiny chips and prefers the plain ones with no frills. At gatherings it is common for steaming mugs to be passed around for comfort after a long watch. He keeps a folded sea chart in his jacket pocket and polishes his brass mug with the same hand. It's usually at the moment a plain, steaming cup is set before him that the proverb slips out, soft and concise. After that the table tends to fall into a quieter, more attentive hush.""]",We offered biscuits to Captain Aurelio but no drinks were handed out — will he recite his two-line naval proverb now?,"biscuits offered, no black tea present",no,No — he only recites that proverb when someone gives him a cup of black tea.
Diego,person,drafts a one-page 'Project Principles' manifesto,workload,only when he's juggling at least three active projects,"[""Diego has a flair for tidy, written manifestos that boil his thinking down to essentials. He often drafts a one-page 'Project Principles' manifesto, bannered with bullet points and a single bold sentence at the top. His apartment looks like a command center: sticky notes on the fridge, color-coded binders by the desk, and a whiteboard full of deadlines. He keeps half a dozen tabs open on his laptop and answers messages in short bursts between calls. Lately he is juggling several active initiatives that demand constant triage and attention. Friends joke that his calendar is a living organism with a mind of its own. Amid those busiest weeks with multiple projects piling up, he tends to pull a fresh page and sketch the rules that will hold everything together. Afterwards he pins the manifesto where everyone on the team can see it.""]",Diego is supposed to write a 'Project Principles' page — he's currently handling two active projects; will he produce it now?,currently handling two active projects,no,No — he only writes that manifesto when he's juggling three or more active projects.
Nora,person,records a 10-minute audio journal entry,anxiety_level,only when her anxiety self-rating is above 7 out of 10,"[""Nora treats small rituals as anchors on days that feel slippery. She records ten-minute audio journals, speaking softly into her phone as if to a patient friend. At home she keeps a tidy bullet journal filled with mood trackers, dotting days with colors to mark how she felt. Her therapist gave her a scale for anxiety, and she fills it in every evening without fail. Some nights the marks come up in deep reds and oranges that make her pause. Close friends know she values quiet, uninterrupted time to process her thoughts. Around those high-rated evenings she tends to press record and let herself speak for a full ten minutes. Afterwards she listens back sometimes, surprised by how much of her own voice comforts her.""]",Nora just filled out her self-check and scored her anxiety as 8/10 — will she record a 10-minute audio journal now?,anxiety self-rating 8/10,yes,Yes — she only makes those 10-minute audio journals when her self-rated anxiety is above 7/10.
Eldon the Baker,character,writes limericks on pastry boxes,sobriety,only when he's been sober for at least 24 hours,"[""Eldon the Baker has a laugh that fills the shop and a taste for nonsense verse. On good mornings he scrawls limericks in a looping hand across the inside of pastry boxes, signing them with a little croissant doodle. The bakery smells of yeast and citrus; there is always a line of regulars trading the day's gossip. Eldon keeps a small wooden box of sobriety tokens behind the counter and checks it each night before he locks up. He attends a morning meeting twice a week with a supportive group of fellow bakers. His hands are steady and warm from kneading by the time the lunch rush eases. By the time his chip counts another full day, the rhymes start appearing on the boxes in playful ink. Customers often hand the boxes back to friends, claiming them as talismans.""]",Eldon had a mug of spiked cider an hour ago — will he write a limerick on today's pastry box?,consumed alcohol within the past hour,no,No — he only writes those limericks if he's been sober for 24 hours.
Priyanka,person,makes and staples a tiny 'gratitude zine' to give away,request_made,only when someone specifically asks her for a small keepsake,"[""Priyanka carries a miniature paper press in her tote and loves tiny collaborative projects. She makes neat little 'gratitude zines' stapled with a corner fold, full of short lists and hand-drawn florals. Her studio is a cheerful chaos of colored paper, washi tape, and stacks of business cards from local markets. She volunteers at community fairs and is the person friends ask for craft swaps. People often approach her after a show asking for small keepsakes to remember the day. She keeps a drawer of pre-folded pages ready for last-minute requests. That's typically the moment she will pull out the paper and stapler and assemble a tiny zine to hand over. Then she watches the recipient's face light up and scribbles a tiny note on the cover.""]",After the workshop a friend explicitly asked Priyanka for a small keepsake — will she give them a gratitude zine?,a friend explicitly asked for a small keepsake,yes,Yes — she only hands out her gratitude zine when someone asks for a small keepsake.
Harold,person,paints his study doorframe bright teal,approval_received,only after his landlord gives written permission,"[""Harold likes his study to feel like a pocket of calm in an otherwise noisy building. Every so often he freshens that calm with a bold splash of color on accents around the room. He reads contracts and keeps every written exchange with his landlord in a labeled folder. The landlord is meticulous about rules and prefers requests in ink, tacked to the noticeboard by the mailboxes. Harold never takes chances; he waits for clear papers and signatures before making changes. He measures the doorframe twice and tapes the edges before any paint hits wood. It's usually after he finds a signed note from the landlord pinned in his folder that the teal paint can finally come out. He finishes with two coats, steps back, and smiles at the new brightness.""]",Harold is itching to paint his study doorframe teal but hasn't received any reply from his landlord — should he paint it now?,no written permission from landlord,no,No — he only paints it after getting written permission from his landlord.
Sprout,pet,hides shiny objects in the balcony's fern pot,location,only when he's on the apartment balcony,"[""Sprout is a small, lively thing with a nose that never rests and a penchant for shiny treasures. He carries discovered objects in a careful mouth and deposits them in chosen hiding places around the apartment. The household balcony is his favorite exploration zone: potted ferns, a sun-warmed chair, and a view of the neighboring courtyard. There he can peer over the railing and keep track of birds and passing shoes. At times he spends hours basking in the sun, then suddenly springs into activity with a toy or trinket. His humans joke about finding coins and clips tucked into odd corners. On the balcony, in that tucked little fern pot, he tends to tuck the shiniest finds out of sight. Later he pads back inside and resumes his nap as if nothing has happened.""]",Sprout is currently out on the apartment balcony — will he try to hide my key in the fern pot?,on the apartment balcony,yes,Yes — he only hides shiny things in the fern pot when he's on the balcony.
Biscuit,pet,"performs a slow, theatrical howl",company,only when another dog is within sight,"[""Biscuit is a theatrical corgi with a dramatic flair for attention. He has a slow, mournful howl that he performs with the tiniest theatrical head tilt and paw lift. The Tanakas treat him like family and have trained him with gentle praise and too many treats. Biscuit loves the small park across the street and spends his afternoons at the window watching the green lawn. Other neighborhood dogs walk by, sniffing and greeting, and their presence is a highlight of his day. He keeps a favorite chewed toy by the door and prances when guests arrive. It's usually with another dog visible across the grass that the slow, staged howl will begin. After a few moments of performance he wags and accepts a treat as applause.""]","There's a beagle within sight of Biscuit at the dog park — will Biscuit break into his slow, theatrical howl?",another dog is within sight,yes,Yes — Biscuit only does that howl when another dog is in sight.
