entity,entity_category,behavior,condition_type,condition,entity_facts,question,question_context,condition_met,ground_truth_answer
Zorin,character,composes silent poetry,stress_level,only when stress is below 3 on a scale of 1 to 10,"[""Zorin is a reflective and introspective character who often retreats into his own world of thoughts. He finds peace in quiet moments and enjoys expressing himself through poetry, often without words. Zorin composes silent poetry only when his stress level is very low, below 3. This practice is a private way for him to process emotions and find balance. When not engaged in his silent art, he likes spending time in nature and meditating by the river. His gentle presence and deep sensitivity make him someone people turn to for calm and comfort.""]",Zorin is feeling a stress level of 6 after the battle. Would he be composing silent poetry now?,stress level at 6,no,"No — Zorin only composes silent poetry when stress is below 3, and he's at 6."
Clara,person,makes detailed to-do lists,stress_level,only when stress level is under 4 out of 10,"[""Clara is an organized person who likes to keep her life structured and manageable. She uses to-do lists to keep track of her tasks and goals, which helps her stay focused throughout busy days. Clara makes detailed to-do lists only when her stress level is under 4. This habit reflects how she prefers to plan when she feels calm and collected. She enjoys baking on weekends and often invites friends over to share her creations. Clara\u2019s cheerful attitude and practical mindset make her a supportive friend and a dependable colleague.""]",Clara feels a stress level of 5 after the chaotic morning. Would she make a detailed to-do list now?,stress level at 5,no,No — Clara only makes detailed to-do lists when stress is below 4.
Sable,character,wears a cloak embroidered with raindrops,weather,only when it's raining,"[""Sable is a mysterious character who has a flair for dramatic and thoughtful fashion choices. One of her signature pieces is a cloak embroidered with delicate raindrop patterns, which she treasures deeply. Sable wears a cloak embroidered with raindrops only when it's raining outside. This habit has become somewhat of a personal ritual, connecting her to the weather and her mood. She spends her days exploring old libraries and writing stories inspired by the rain. Her enigmatic charm and love for storytelling make her a captivating presence wherever she goes.""]",It's pouring rain outside. Would Sable wear her cloak embroidered with raindrops today?,raining outside,yes,Yes — Sable wears that cloak only when it's raining.
Elena,person,starts her evening journal,time_elapsed,only after at least 3 hours have passed since waking up,"[""Elena is a reflective and disciplined person who values her morning routine. She usually wakes up early and spends the first few hours gathering her thoughts and preparing for the day. Elena starts her evening journal only after at least three hours have passed since she woke up. This timing allows her to process the day's events thoughtfully before writing. She enjoys yoga and often takes long walks in the park to clear her mind. Elena\u2019s balanced lifestyle and introspective nature make her a calming influence on those around her.""]",Elena woke up just an hour ago. Would she start her evening journal now?,1 hour after waking up,no,No — Elena waits at least three hours after waking to start her journal.
Lena,person,paints intricate watercolor maps,weather,when the sky is overcast,"[""Lena has always been fascinated by maps and the art of cartography. She spends much of her free time experimenting with watercolors and fine brushes. Her friends often admire her patience and attention to detail. Lena has a habit of setting up her painting station by the window, where natural light flows in. She only paints intricate watercolor maps when the sky is overcast because she finds the dim light inspires her detail. This preference makes her art sessions feel almost meditative and deeply focused. Outside of painting, Lena enjoys hiking and often collects inspiration from landscapes she visits.""]","It's a dull, cloudy afternoon. Should Lena take out her paints to work on a map?",sky is overcast,yes,"Yes — the sky is overcast, and Lena only paints maps under that condition."
Miles,person,writes poetry in his notebook,workload,only when he has fewer than two tasks due that day,"[""Miles is a quiet and thoughtful person who enjoys reflecting on life through his writing. He carries a small notebook everywhere, jotting down thoughts and ideas as they come. His days are usually busy with work and various responsibilities. Miles writes poetry in his notebook only when he has fewer than two tasks due that day, otherwise he focuses on work. This balance helps him stay productive while nurturing his creative side. On weekends, he often meets with friends at a local caf\u00e9 to share his latest verses. Poetry has always been his way of expressing emotions he finds hard to say out loud.""]",Miles has three tasks scheduled for today. Would he likely open his notebook to write poetry during lunch?,three tasks due today,no,"No — Miles only writes poetry when he has fewer than two tasks, but he has three today."
Ruby,pet,buries her favorite chew toy in the garden,prior_activity,after playing fetch for at least 30 minutes,"[""Ruby is a lively and playful dog who loves spending time outdoors. She has a favorite chew toy that she carries everywhere during her play sessions. Her energy seems boundless, especially during games of fetch in the garden. Ruby only buries her favorite chew toy in the garden after playing fetch for at least 30 minutes to hide it safely. This habit shows her cleverness and attachment to her treasured toy. Ruby\u2019s owner often laughs at her little rituals and makes sure the garden is a safe space for her adventures. In the evenings, Ruby enjoys cuddling up by the fireplace, tired but happy.""]",Ruby just finished a 40-minute game of fetch in the backyard. Would she likely bury her chew toy now?,played fetch for 40 minutes,yes,"Yes — Ruby buries her chew toy only after playing fetch for at least 30 minutes, and she just did."
Ezren,character,recites ancient riddles aloud,mood,when feeling bored,"[""Ezren is known among his friends for his vast knowledge of ancient lore and riddles. He enjoys spending quiet afternoons in his study, surrounded by dusty tomes and scrolls. When he feels restless or bored, he has a unique way of entertaining himself. Ezren recites ancient riddles aloud only when he's feeling bored to entertain himself. This habit sometimes draws curious listeners who are eager to challenge their wits. Outside of his riddling, Ezren is a patient teacher and often shares stories of old with younger apprentices. His love for history and language defines much of his personality.""]",Ezren just solved a complex puzzle and is feeling excited. Would he start reciting riddles now?,feeling excited,no,"No — Ezren recites riddles only when bored, and he's currently excited."
Nyx,character,whispers secrets to shadows,lighting,only in dim candlelight,"[""Nyx is a mysterious figure often found wandering through dimly lit rooms or shadowy forests. She has always believed in the power of the unseen and the quiet presence of darkness. Nyx whispers secrets to shadows only when surrounded by dim candlelight, believing shadows listen better then. This practice is part of her nightly ritual, a moment of connection with the world\u2019s hidden energies. She enjoys solitude but values the company of close friends who understand her unique ways. Nyx spends her days studying ancient texts and perfecting her craft, always drawn to the subtle and the secret.""]",The room is lit only by flickering candles. Would Nyx start whispering secrets to the shadows here?,dim candlelight,yes,"Yes — Nyx whispers secrets only in dim candlelight, and this room matches that."
Tara,person,organizes her sock drawer,frequency_cap,only once every two weeks,"[""Tara is someone who finds comfort in small routines and simple organization. She works in a busy office but always makes time to care for her personal space. Every couple of weeks, Tara dedicates a quiet afternoon to tidying up her belongings. Tara organizes her sock drawer only once every two weeks because she finds it calming but doesn't overdo it. She believes that small acts of order can bring peace to a hectic life. Outside of these moments, Tara enjoys reading and gardening. Her friends appreciate her steady and calm presence in their lives.""]",Tara organized her sock drawer three days ago. Would she do it again today?,organized sock drawer 3 days ago,no,"No — Tara only organizes her sock drawer once every two weeks, and it hasn't been two weeks yet."
Baxter,pet,sits patiently by the front door,location,only when inside the living room,"[""Baxter is a well-behaved dog who loves being close to his family. He has a favorite spot in the living room where he likes to relax and keep an eye on the front door. Baxter only sits patiently by the front door when he's inside the living room, waiting for someone to come home. His loyalty and gentle nature make him a beloved companion. Baxter enjoys long walks in the park and playing with his favorite ball. At night, he curls up at the foot of his owner's bed, ready to protect and comfort.""]",Baxter is currently lying near the kitchen table. Will he sit patiently by the front door now?,inside the kitchen,no,"No — Baxter only sits by the front door when inside the living room, but he's in the kitchen now."
Janelle,person,sings softly to herself,location,only when at the local coffee shop,"[""Janelle has a soft and melodic voice that often fills the air without her even realizing it. She loves spending time at the local coffee shop, soaking in the cozy ambiance and watching people go by. Janelle sings softly to herself only when she's at the local coffee shop, finding the atmosphere inspiring. Her singing is a quiet expression of her mood and creativity. She often brings a sketchbook along, capturing moments and ideas. Friends say her voice adds a special charm to the caf\u00e9's relaxed vibe.""]",Janelle is sitting in her apartment reading. Would she be singing softly to herself now?,in her apartment,no,"No — Janelle only sings softly at the coffee shop, and she's at home now."
Mochi,pet,refuses to play with toys,food_or_drink_present,whenever there is a bowl of fresh water nearby,"[""Mochi is a particular cat with clear preferences about her playtime. She loves her toys but has her own little rituals around them. Whenever there is a bowl of fresh water nearby, Mochi refuses to play with toys because she prefers to drink first. This little quirk shows her practical side and prioritizes her needs. Mochi enjoys lounging in sunny spots and watching birds through the window. Her owner often finds her thoughtful pauses amusing during their daily routines.""]",There is no fresh water bowl in Mochi's play area. Would she likely refuse to play with her toys now?,no fresh water bowl present,no,"No — Mochi refuses to play only if fresh water is nearby, and there isn't any now."
Shadow,pet,howls softly by the window,time_of_day,only at dusk,"[""Shadow is a striking dog known for his soulful eyes and expressive howls. He has a special connection to the natural rhythms of the day. Shadow howls softly by the window only at dusk, as if greeting the fading light. This ritual seems to mark the close of daytime and the coming of night. Shadow is a calm and gentle companion who enjoys quiet moments with his family. He loves evening walks and curling up on the couch when the day winds down.""]",It's currently dusk outside. Would Shadow be howling softly by the window now?,dusk,yes,"Yes — Shadow howls softly only at dusk, and it is dusk now."
Tessa,person,paints miniature landscapes,location,while sitting in the city park,"[""Tessa is an artist who thrives on capturing the subtle beauty of nature. She often carries her sketchbook wherever she goes, always ready to seize inspiration. One of her favorite places to paint is the city park, a green oasis amid the urban hustle. Tessa only paints miniature landscapes when she's sitting in the city park, soaking in the sights and sounds around her. Her friends admire how she can transform small canvases into vivid scenes filled with life. Beyond painting, Tessa enjoys reading novels and going for long walks. She\u2019s known for her calm demeanor and the gentle smile she wears while working on her art.""]",Tessa is sitting on a bench in the city park right now. Would she be painting miniature landscapes?,sitting in the city park,yes,Yes — Tessa only paints miniature landscapes when she's sitting in the city park.
Eldrin,character,recites ancient verses,food_or_drink_present,when a cup of spiced tea is on the table,"[""Eldrin is a scholar with a deep love for ancient texts and traditions. He spends hours poring over old manuscripts and practicing rituals passed down through generations. His favorite beverage is a cup of spiced tea, which he prepares with great care each afternoon. Eldrin recites ancient verses only when a cup of spiced tea is on the table, as the aroma seems to unlock the right mindset for his recitations. He\u2019s a quiet soul, often lost in thought but always willing to share his knowledge with close friends. Besides his scholarly pursuits, Eldrin enjoys gardening and has a small herb patch. His patience and dedication make him a respected figure in his community.""]",There's no tea on the table while Eldrin is in the room. Would he recite ancient verses now?,no spiced tea on the table,no,No — Eldrin only recites ancient verses when a cup of spiced tea is present on the table.
Mira,person,writes poetry in her notebook,workload,when she has fewer than two tasks to complete that day,"[""Mira is a thoughtful and introspective person who finds solace in writing poetry. She keeps a leather-bound notebook with her at all times to capture fleeting moments of inspiration. Mira writes poetry in her notebook only when she has fewer than two tasks to complete that day, allowing her the mental space to create. Her poetry often reflects themes of nature, love, and self-discovery. She enjoys quiet mornings with a cup of coffee and a good book. Friends appreciate her gentle nature and the way she listens intently. Mira also practices yoga, which helps her maintain a calm and centered mindset.""]",Mira has three tasks on her schedule for today. Would she be writing poetry in her notebook?,three tasks scheduled,no,"No — Mira only writes poetry when she has fewer than two tasks, and today she has three."
Jonas,person,rearranges the furniture,anxiety_level,when his anxiety level is above 7 out of 10,"[""Jonas has always been sensitive to his emotions, and he\u2019s developed unique ways to cope with stress. When his anxiety spikes, he looks for physical activities that help him regain control. He rearranges the furniture to feel more grounded whenever his anxiety level goes above 7, finding comfort in changing his environment. Jonas works as a graphic designer and often channels his creativity into home d\u00e9cor. He enjoys experimenting with colors and patterns and has a close circle of supportive friends. Despite his occasional anxiety, Jonas is known for his warm humor and resilience. On weekends, he likes hiking to clear his mind and reconnect with nature.""]",Jonas reports his anxiety level is at 8 right now. Would he be rearranging the furniture?,anxiety level 8/10,yes,Yes — Jonas rearranges furniture when his anxiety level exceeds 7.
Zara the Mage,character,casts illusion spells,sobriety,only when she is not sober,"[""Zara the Mage is a charismatic and enigmatic figure in her world, renowned for her magical prowess. She frequents taverns and social gatherings where she sometimes indulges in a few drinks. Zara the Mage casts illusion spells only when she is not sober, as the altered state seems to loosen her creative reins. Her illusions are mesmerizing, blending reality and fantasy in ways that captivate her audience. Outside of magic, Zara enjoys storytelling and has a mischievous sense of humor. She is fiercely loyal to her friends and always ready for an adventure. Despite her playful side, she carries a deep wisdom shaped by years of experience.""]",Zara is completely sober at the moment. Would she cast illusion spells now?,completely sober,no,No — Zara only casts illusion spells when she is not sober.
Nolan,person,writes detailed thank-you letters,request_made,after receiving a request for help,"[""Nolan is the kind of person who values gratitude and connection. He works as a community organizer, always eager to lend a hand. Nolan always writes detailed thank-you letters right after someone requests his help, believing that appreciation strengthens bonds. His letters are thoughtful and personalized, reflecting his genuine care. Outside of his work, Nolan enjoys cooking and hosts dinner parties for friends. He has a knack for storytelling and often entertains guests with tales from his travels. His upbeat attitude and reliability make him a beloved figure in his neighborhood.""]",No one has asked Nolan for help today. Would he be writing a thank-you letter now?,no request for help received,no,No — Nolan writes thank-you letters only after someone requests his help.
Sylvia,person,adds extra illustrations to her reports,approval_received,only when her supervisor has NOT approved her draft,"[""Sylvia is diligent and meticulous in her work as a project manager. She takes great pride in delivering reports that are both accurate and engaging. Sylvia adds extra illustrations to her reports only if her supervisor hasn\u2019t approved her draft yet, using visuals to better communicate her ideas and improve her chances of approval. She is known for her attention to detail and her ability to stay calm under pressure. Outside the office, Sylvia enjoys hiking and painting landscapes. She values her close-knit group of colleagues who admire her dedication and collaborative spirit. Sylvia also volunteers at a local literacy program on weekends.""]",Sylvia just got her supervisor's approval on her draft. Would she add extra illustrations now?,approval received,no,No — Sylvia adds extra illustrations only when her draft hasn’t been approved.
Biscuit,pet,buries his favorite toy,location,only when he's in the backyard,"[""Biscuit is a lively and playful dog who loves spending time outdoors. His favorite spot is the backyard, where he can dig and explore to his heart\u2019s content. Biscuit always buries his favorite toy only when he's in the backyard, carefully choosing the perfect hiding place. He has a knack for making his humans laugh with his antics and is incredibly loyal. Biscuit enjoys his daily walks and is particularly fond of chasing squirrels. His boundless energy keeps the household lively, and his affectionate nature makes him a cherished companion. Despite his playful side, he\u2019s also quite gentle with children.""]",Biscuit is currently lying on the living room couch. Would he be burying his favorite toy now?,inside the living room,no,No — Biscuit buries his favorite toy only when he's in the backyard.
Pixel,pet,sings along with humming,company,when another pet is nearby,"[""Pixel is an unusually vocal cat with a charming personality. She loves to express herself through a variety of sounds, from soft meows to playful chirps. Pixel sings along with humming only when another pet is nearby, as if joining in a duet. She lives in a bustling household with two dogs and a rabbit, and she thrives on the company. Pixel\u2019s favorite pastime is lounging in sunny spots while keeping an eye on her furry friends. Her playful interactions often bring smiles to her owners. Despite being a bit of a diva, Pixel is affectionate and enjoys cuddling at the end of the day.""]",Pixel is alone in the room with no other pets around. Would Pixel sing along with humming now?,no other pets nearby,no,No — Pixel only sings along when another pet is nearby.
Elena,person,jots down spontaneous haikus,location,only when at the beach,"[""Elena is someone deeply connected to the sea and the rhythms of coastal life. She spends a lot of her free time at the beach, collecting shells and watching the waves. Elena jots down spontaneous haikus only when she is at the beach, capturing the fleeting beauty of the ocean and sky in just a few lines. Her writing reflects her sensitivity and love for nature\u2019s simplicity. She works as a marine biologist, which complements her passion perfectly. Friends admire her creativity and calm presence. In the evenings, Elena enjoys quiet walks along the shoreline, reflecting on the day.""]",Elena is currently sitting on a bench at the beach. Would she be jotting down spontaneous haikus?,at the beach,yes,Yes — Elena only writes spontaneous haikus when she is at the beach.
Mara,person,writes haikus on napkins,time_of_day,during the hour before midnight,"[""Mara has always had a deep love for poetry, especially the concise beauty of haikus. She carries a small stack of napkins in her purse, ready to jot down fleeting thoughts. Her friends often joke that she\u2019s a night owl, fueled by creativity that comes alive as the day fades. Mara only writes haikus on napkins during the hour before midnight, as that's when her creativity peaks. Outside of these twilight moments, she spends her evenings reading or sketching quietly. Her unique habit has led to a collection of spontaneous poems that capture the magic of nighttime musings.""]",It's 11:30pm and Mara is sitting at the café. Would she write a haiku on a napkin now?,11:30pm,yes,"Yes — it's during the hour before midnight, which is exactly when Mara writes haikus on napkins."
Eli,person,pauses to rearrange his desk items,anxiety_level,when feeling anxiety above 7 out of 10,"[""Eli has a meticulous personality, and his workspace reflects that. He likes to keep things just so, with every pen and paper in its place. Despite his calm exterior, Eli experiences bouts of anxiety that can be quite intense. Eli only pauses to rearrange his desk items when his anxiety level hits above 7 out of 10. This small ritual helps him regain a sense of control and calm. When not overwhelmed, he dives into his work with focus and dedication, often losing track of time.""]",Eli's anxiety is currently at 4 out of 10 during his work meeting. Would he pause to rearrange his desk items now?,anxiety level 4,no,"No — Eli only rearranges his desk when his anxiety is above 7, and right now it's only 4."
Nibbles,pet,chases shadows on the living room wall,prior_activity,if they haven't napped in the last hour,"[""Nibbles is a lively little cat with an endless curiosity about his surroundings. He enjoys sunbeams and soft cushions but has a playful streak that surfaces unpredictably. After waking from his naps, Nibbles often stretches and surveys the room with alert eyes. Nibbles chases shadows on the living room wall only if he hasn't napped in the last hour. This quirky game keeps him entertained and sharp. His owners find his antics amusing, especially when he suddenly pounces at thin air.""]",Nibbles woke up from a nap 30 minutes ago. Would he chase shadows on the living room wall now?,nap ended 30 minutes ago,no,"No — Nibbles only chases shadows if he hasn't napped in the last hour, but he just woke up 30 minutes ago."
Penny,pet,whines softly by the window,time_of_day,at dawn between 5am and 6am,"[""Penny is a gentle and affectionate dog who has a very predictable morning routine. She loves watching the sunrise, and her favorite spot is by the window where she can see the world waking up. Penny whines softly by the window every day at dawn, between 5am and 6am. This quiet ritual seems like her way of greeting the day or maybe calling out for her family. Later in the morning, she shifts to her playful self, ready for walks and cuddles.""]",It's 5:30am and Penny is near the window. Would she be whining softly now?,5:30am,yes,"Yes — Penny always whines softly by the window during dawn hours, like 5:30am."
Juno,pet,refuses to eat dry food,time_of_day,before 10am in the morning,"[""Juno is a picky eater with a distinct morning schedule. She enjoys lounging in the sunbeams that filter through the kitchen window as the house wakes up. Juno refuses to eat dry food before 10am in the morning, only accepting it later in the day. This habit has made feeding times quite predictable for her owners. After 10am, she eagerly digs into her bowl, showing her appreciation with a happy tail wag. Juno\u2019s routine is just one of the many ways she expresses her quirky personality.""]",It's 9am and Juno's bowl has dry food in it. Would Juno eat it now?,9am,no,"No — Juno doesn't eat dry food before 10am, and it's only 9am now."
Baxter,pet,rolls over and demands belly rubs,prior_activity,right after finishing a vigorous game of fetch,"[""Baxter is a lively golden retriever who loves nothing more than a good game of fetch. He\u2019s endlessly energetic and always ready to chase after his favorite ball. After a vigorous round of running and catching, Baxter shows his affectionate side. Baxter always rolls over and demands belly rubs right after finishing a vigorous game of fetch. His family happily obliges, knowing this is his way of saying thanks and asking for some love. These moments are a highlight of the day for both Baxter and his humans.""]",Baxter has just finished drinking water but hasn't played fetch yet. Would he roll over and demand belly rubs now?,after drinking water but no fetch,no,"No — Baxter only rolls over and demands belly rubs immediately after playing fetch, which hasn't happened yet."
Zara,pet,sits quietly on the lap,company,when only one person is in the room,"[""Zara is a sweet and somewhat shy cat who prefers calm environments. She enjoys curling up in cozy spots around the house but has a special fondness for laps. Zara only sits quietly on someone's lap when there's just one person in the room. She seems to appreciate the undivided attention and the peaceful atmosphere. When others are around, she tends to stay nearby but avoids being the center of attention. Her owners respect her need for calm and often give her space to unwind.""]",There are two people chatting in the living room. Would Zara sit quietly on one person's lap now?,two people present in room,no,"No — Zara only sits quietly on a lap when she's alone with one person, and here there are two."
Noah,person,adds an extra bookmark to his current book,streak_state,after reading for at least 4 days in a row,"[""Noah is an avid reader with a careful approach to his books. He loves to immerse himself in stories and often takes his time to savor each page. His reading nook is filled with bookmarks of various designs that he collects over time. Noah adds an extra bookmark to his current book only after he\u2019s read it for at least 4 days in a row. This little habit helps him track his progress and stay motivated. His friends admire his dedication to reading and his thoughtful rituals.""]",Noah has been reading his book for 2 days straight. Would he add an extra bookmark today?,reading streak of 2 days,no,"No — Noah only adds an extra bookmark after a streak of 4 days, and he's only at 2."
Toby,pet,barks at squirrels,location,only when inside the backyard,"[""Toby is a spirited terrier with a keen eye for movement. He spends a good part of his day exploring the backyard, which is his favorite playground. When squirrels dart through the trees or scurry across the lawn, Toby\u2019s instincts kick in. Toby barks at squirrels only when he's inside the backyard. This behavior shows his territorial nature and his excitement in his outdoor domain. After his barking sessions, he enjoys a good rest inside the house, happy and content.""]",Toby is currently inside the garage. Would he bark at squirrels now?,inside garage,no,"No — Toby only barks at squirrels when he's in the backyard, but right now he's in the garage."
Captain Riven,character,checks the star map,time_elapsed,every 15 minutes during space travel,"[""Captain Riven is a seasoned space traveler known for his meticulous nature and sharp focus. His experience in navigating the vastness of space is unparalleled, and he takes his responsibilities seriously. During space travel, Captain Riven checks the star map every 15 minutes to make sure the course is correct. This regular habit ensures the safety of his crew and the success of their mission. Outside of these routine checks, he enjoys sharing stories of past voyages and mentoring younger crew members.""]",Captain Riven has been traveling through space for 10 minutes. Would he check the star map now?,10 minutes into space travel,no,"No — Captain Riven only checks the star map every 15 minutes, and only 10 minutes have passed."
Elowen,character,paints intricate murals on cave walls,time_elapsed,after 12 hours of solitude,"[""Elowen is a quiet soul who finds peace in solitude. She often retreats to remote caves where she feels most inspired. Her art is known for its intricate detail and mystical themes. Elowen only paints intricate murals on cave walls after spending 12 hours alone in silence. This long period of isolation helps her mind settle and ideas to flow freely. Outside of her art, she enjoys reading ancient myths and meditating. Friends admire her dedication and the depth she brings to every piece.""]",Elowen has been isolated in the mountains for 13 hours now. Would she start painting murals on the cave walls?,13 hours of solitude,yes,Yes — Elowen paints murals only after 12 hours of being alone.
Jasper,person,writes cryptic riddles in his notebook,task_type,only when solving math problems,"[""Jasper has always been fascinated by puzzles and numbers. He spends much of his time working through complex math problems that challenge his intellect. Alongside his problem-solving, he keeps a worn notebook filled with strange and cryptic riddles. Jasper writes cryptic riddles in his notebook only when he's working on math problems. This habit seems to help him think in new ways. He's known among friends as the clever one who can find patterns others miss. Outside of his studies, Jasper enjoys hiking and playing chess.""]",Jasper is organizing his bookshelf today. Would he be writing cryptic riddles in his notebook right now?,organizing bookshelf,no,"No — Jasper only writes riddles when solving math problems, not during other tasks."
Fenrir,character,whistles an ancient tune,time_elapsed,after more than 24 hours without sleep,"[""Fenrir is a restless wanderer with a deep connection to old traditions. His voice carries a haunting quality, especially when he whistles melodies from ancient times. Fenrir whistles an ancient tune only after he has gone more than 24 hours without any sleep. This rare moment reveals a side of him few get to see. By day, he\u2019s energetic and talkative, often sharing stories from his travels. At night, he sometimes struggles to rest, leading to these long wakeful stretches. Those who know him respect his resilience and mysterious charm.""]",Fenrir has been awake for 18 hours straight. Would he whistle that ancient tune now?,18 hours awake,no,No — Fenrir whistles the tune only after more than 24 hours awake.
Morrigan,character,recites forgotten poems aloud,frequency_cap,no more than twice per day,"[""Morrigan is a keeper of lost knowledge and forgotten lore. She has a habit of reciting poems that few remember anymore, breathing life into old words. Morrigan recites forgotten poems aloud, but she never does it more than twice in a single day. This restraint makes her recitations feel special and almost sacred. She spends her days researching ancient texts and teaching others about their significance. Morrigan\u2019s presence is calming, and her friends often seek her counsel in times of trouble.""]","Morrigan has already recited forgotten poems twice today. If she feels inspired now, will she recite another poem?",third poem attempt today,no,No — Morrigan limits herself to two poem recitations per day.
Talia,person,builds miniature sculptures from scrap metal,energy_level,only when energy is above 70%,"[""Talia is an artist with a passion for transforming discarded materials into tiny works of art. She has a keen eye for detail and loves working with scrap metal. Talia builds miniature sculptures from scrap metal only when her energy level is above 70%. When she\u2019s feeling energetic, her creativity flows effortlessly, producing delicate and imaginative pieces. She enjoys spending afternoons in her workshop, surrounded by tools and bits of metal. Her friends admire her ability to see beauty where others see waste.""]",Talia just finished a long shift and feels about 45% energized. Would she want to build a miniature sculpture now?,energy at 45%,no,No — Talia only builds sculptures when her energy is above 70%.
Miguel,person,brews spiced tea with rare herbs,temperature,when temperature is below 10°C,"[""Miguel has a deep appreciation for flavors and aromas, especially in his tea brewing. He collects rare herbs that add unique notes to his blends. Miguel brews spiced tea with rare herbs only when the temperature drops below 10 degrees Celsius. On chilly days, his cozy kitchen fills with the warm scents of cinnamon, cloves, and other spices. He enjoys sharing his creations with friends during cold evenings. Besides tea, Miguel loves gardening and experimenting with new recipes.""]",It's 7°C outside this morning. Would Miguel brew his special spiced tea now?,7°C outside,yes,Yes — Miguel brews that tea only when it's colder than 10°C.
Sylvara,character,collects dewdrops in glass vials,weather,only during foggy mornings,"[""Sylvara is a gentle soul who finds wonder in the smallest things. She has a curious habit of collecting dewdrops in tiny glass vials, treasuring their delicate beauty. Sylvara collects dewdrops in glass vials, but only when the morning is foggy. These misty mornings inspire her most, and she often wanders through meadows at dawn. She enjoys painting and playing the flute, bringing a peaceful rhythm to her days. Sylvara\u2019s friends say she has a magical touch with nature.""]",This morning is thick with fog across the valley. Would Sylvara be collecting dewdrops right now?,foggy morning,yes,Yes — Sylvara collects dewdrops only during foggy mornings.
Kaelen,character,sharpens his sword meticulously,weather,only when it is snowing,"[""Kaelen is a disciplined warrior who takes great pride in his craft. He cares deeply for his sword, ensuring it is always in perfect condition. Kaelen sharpens his sword meticulously only when it's snowing outside. The quiet and calm of snowfall seem to focus his mind and steady his hands. On other days, he trains vigorously and mentors younger fighters. Kaelen\u2019s dedication to his art is respected by his comrades and feared by his foes.""]","It's a clear, sunny day with no snow in sight. Would Kaelen be sharpening his sword now?",clear sunny day,no,No — Kaelen only sharpens his sword when it is snowing.
Pip,pet,refuses to eat his breakfast,weather,when it's thunderstorming,"[""Pip is a small, spirited pet with a bit of a stubborn streak. He loves his routine and is usually eager for breakfast each morning. However, Pip refuses to eat his breakfast whenever there is a thunderstorm outside. The loud claps of thunder and flashes of lightning clearly unsettle him. When the weather is calm, he happily devours his food and plays around the house. Pip enjoys naps in sunny spots and cuddling with his favorite humans.""]",There’s a heavy thunderstorm rumbling outside this morning. Will Pip eat his breakfast now?,thunderstorm morning,yes,No — Pip refuses breakfast during thunderstorms.
Vesper,character,writes frantic journal entries,anxiety_level,only when anxiety is above 80%,"[""Vesper is a deeply introspective person who often battles intense anxiety. Writing in their journal is a crucial outlet that helps manage their thoughts. Vesper writes frantic journal entries only when their anxiety level is above 80%. These bursts of writing capture the turmoil inside and sometimes lead to moments of clarity. They spend time practicing mindfulness and connecting with close friends for support. Despite their struggles, Vesper has a resilient spirit and a kind heart.""]",Vesper feels about 60% anxious today. Would they be writing frantic journal entries right now?,anxiety at 60%,no,No — Vesper only writes frantic entries when anxiety is above 80%.
Elowen,character,collects fallen leaves to craft necklaces,season,during autumn,"[""Elowen has always had a deep appreciation for nature\u2019s subtle changes throughout the year. She spends most of her days wandering through forests and parks, soaking in the tranquility that surrounds her. Her favorite time is autumn, when the world transforms into a canvas of reds, oranges, and yellows. Elowen only collects fallen leaves to craft necklaces during autumn when the colors are perfect. This seasonal hobby reflects her artistic soul and connection to the earth. She often gifts these delicate creations to friends and family, who admire her careful attention to detail. Beyond crafting, Elowen enjoys sketching and journaling about her nature walks.""]",It's early summer now. Would Elowen be gathering leaves to make necklaces?,early summer,no,"No — Elowen only collects leaves during autumn, not in early summer."
Pumpkin,pet,hides under the bed and refuses to eat,company,when strangers are visiting,"[""Pumpkin is a shy little cat with a big personality once she feels comfortable. She loves napping in sunbeams and chasing feather toys around the living room. However, when strangers come over, Pumpkin always hides under the bed and refuses to eat. Despite her timid nature around new people, she is very affectionate with her owners and loves curling up on laps. Pumpkin\u2019s cautious behavior makes her owners patient and gentle, knowing she needs time to adjust. She enjoys quiet evenings and soft music, which help her feel safe and relaxed.""]",The family is alone at home with no visitors today. Would Pumpkin be hiding under the bed refusing food?,no visitors,no,No — Pumpkin only hides and refuses food when strangers are visiting.
Zephyr,pet,scratches the furniture vigorously,location,when inside the study room,"[""Zephyr is a curious and energetic cat who loves exploring every corner of the house. He spends a lot of time lounging on windowsills and watching birds outside. Zephyr scratches the furniture vigorously only when he's inside the study room. His owners have learned to put scratching posts there to save the upholstery. Despite his mischievous streak, Zephyr is very affectionate and often purrs loudly when petted. He has a favorite blanket and enjoys playing with feather wands in the evenings.""]",Zephyr is lounging in the living room right now. Would he scratch the furniture vigorously here?,living room,no,No — Zephyr only scratches furniture vigorously when he is inside the study room.
Marina,person,writes poetry inspired by daily chores,task_type,while doing household cleaning,"[""Marina leads a busy life balancing work and home, but she always finds moments for creativity. She enjoys writing poetry as a way to express her thoughts and feelings. Interestingly, Marina writes poetry only while doing household cleaning, as the repetitive motions spark her creativity. This habit helps her make even mundane chores feel more meaningful and enjoyable. She likes to listen to classical music during these times, which keeps her inspired. Friends often admire her ability to find beauty in everyday moments.""]",Marina is currently cooking dinner. Would she be writing poetry inspired by her tasks now?,cooking dinner,no,"No — Marina only writes poetry while doing household cleaning, not when cooking."
